File Name and Path,Number of commits
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/disable/src/io/openliberty/restfulWS30/cdi30/fat/disable/HelloWorldResourceForS.java,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/disable/src/io/openliberty/restfulWS30/cdi30/fat/disable/SimpleBean.java,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/lifecyclemethod/resources/WEB-INF/beans.xml,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/lifecyclemethod/resources/WEB-INF/web.xml,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/lifecyclemethod/src/io/openliberty/restfulWS30/cdi30/fat/lifecyclemethod/LifeCycleApplication.java,3
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/lifecyclemethod/src/io/openliberty/restfulWS30/cdi30/fat/lifecyclemethod/LifeCycleCommentError.java,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/lifecyclemethod/src/io/openliberty/restfulWS30/cdi30/fat/lifecyclemethod/LifeCycleContextRequestFilter.java,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/lifecyclemethod/src/io/openliberty/restfulWS30/cdi30/fat/lifecyclemethod/LifeCycleException.java,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/lifecyclemethod/src/io/openliberty/restfulWS30/cdi30/fat/lifecyclemethod/LifeCycleExceptionMapProvider.java,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/lifecyclemethod/src/io/openliberty/restfulWS30/cdi30/fat/lifecyclemethod/LifeCyclePerson.java,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/lifecyclemethod/src/io/openliberty/restfulWS30/cdi30/fat/lifecyclemethod/LifeCycleResource1.java,3
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/lifecyclemethod/src/io/openliberty/restfulWS30/cdi30/fat/lifecyclemethod/LifeCycleResource2.java,3
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/lifecyclemethod/src/io/openliberty/restfulWS30/cdi30/fat/lifecyclemethod/LifeCycleSimpleBean.java,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/lifecyclemethod/src/io/openliberty/restfulWS30/cdi30/fat/lifecyclemethod/LifeCycleStudent.java,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/lifecyclemethod/src/io/openliberty/restfulWS30/cdi30/fat/lifecyclemethod/LifeCycleTeacher.java,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/lifecyclemismatch/resources/WEB-INF/beans.xml,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/lifecyclemismatch/resources/WEB-INF/web.xml,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/lifecyclemismatch/src/io/openliberty/restfulWS30/cdi30/fat/lifecyclemismatch/ApplicationScopedException.java,2
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/lifecyclemismatch/src/io/openliberty/restfulWS30/cdi30/fat/lifecyclemismatch/ApplicationScopedProvider.java,3
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/lifecyclemismatch/src/io/openliberty/restfulWS30/cdi30/fat/lifecyclemismatch/ApplicationScopedResource.java,3
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/lifecyclemismatch/src/io/openliberty/restfulWS30/cdi30/fat/lifecyclemismatch/ApplicationScopedSingleton.java,3
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/lifecyclemismatch/src/io/openliberty/restfulWS30/cdi30/fat/lifecyclemismatch/ClientTestServlet.java,3
dev/io.openliberty.restfulWS.3.0.cdi.3.0_fat/test-applications/lifecyclemismatch/src/io/openliberty/restfulWS30/cdi30/fat/lifecyclemismatch/DefaultException.java,2
